Item #,Description,Bottle Size,Vintage,Vendor,Case Size,Pack Qty,Unit Price,Pack Price,Case Price,Current Inventory On Hand,Item Unit Cost,Item Case Cost,UPC data
13133,7 MOONS DARK SIDE RED BLEND,750ML,,FYFY,12,1,14.99,0,0,12,10.66,127.92,83120014980
13847,7 UP CHERRY SODA 2L,2L,,6,8,1,2.99,0,0,44,1.9988,15.99,78000005318
13847,7 UP CHERRY SODA 2L,2L,,6,8,1,2.99,0,0,44,1.9988,15.99,78000005318
13847,7 UP CHERRY SODA 2L,2L,,6,8,1,2.99,0,0,44,1.9988,15.99,78000005318
13847,7 UP CHERRY SODA 2L,2L,,6,8,1,2.99,0,0,44,1.9988,15.99,78000005318
13848,7 UP DIET CHERRY SODA 2L,2L,,6,8,1,2.99,0,0,0,1.9988,15.99,78000008319
13846,7 UP DIET SODA 2L,2L,,6,8,1,2.99,0,0,23,1.9988,15.99,78000000757
13755,7 UP SODA 2L,2L,,6,8,1,2.99,0,0,38,1.9988,15.99,78000000344
13755,7 UP SODA 2L,2L,,6,8,1,2.99,0,0,38,1.9988,15.99,78000000344
13755,7 UP SODA 2L,2L,,6,8,1,2.99,0,0,38,1.9988,15.99,78000000344
13755,7 UP SODA 2L,2L,,6,8,1,2.99,0,0,38,1.9988,15.99,78000000344
14612,818 TEQUILA ANEJO,750ML,,FYFY,6,1,48.99,0,0,6,37.6667,226,195893154296
14611,818 TEQUILA BLANCO,750ML,,11,6,1,29.99,0,0,6,24.8333,149,195893687015
14613,818 TEQUILA REPOSADO,750ML,,11,6,1,38.99,0,0,4,30,180,195893031092
12228,99 APPLES,50ML,,GAFY,120,1,0.99,0,0,72,0.69,82.8,89000118397
12228,99 APPLES,50ML,,GAFY,120,1,0.99,0,0,72,0.69,82.8,122283
12228,99 APPLES,50ML,,GAFY,120,1,0.99,0,0,72,0.69,82.8,88004052935
6927,99 APPLES SCHNAPPS,750ML,,FY,12,1,18.99,0,0,8,14.09,169.08,89000118359
5934,99 BANANA SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,146,0.69,82.8,59349
5935,99 BANANA SCHNAPPS,750ML,,GAFY,12,1,18.99,0,0,2,15.08,180.96,80660620053
5934,99 BANANA SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,146,0.69,82.8,88004036706
5934,99 BANANA SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,146,0.69,82.8,80660620992
5934,99 BANANA SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,146,0.69,82.8,88004036706
5934,99 BANANA SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,146,0.69,82.8,80660620992
5934,99 BANANA SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,146,0.69,82.8,59349
7123,99 BLACKBERRIES SCHNAPPS,750ML,,GAFY,12,1,18.99,0,0,2,15.08,180.96,89000515950
12227,99 BLACKCHERRY,50ML,,GAFY,120,1,0.99,0,0,21,0.69,82.8,80660113692
14221,99 BLUE RASPBERRY,50ML,,GAFY,120,1,0.99,0,0,56,0.69,82.8,88004039660
4385,99 BUTTERSCOTCH  SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,46,0.69,82.8,80660010113
4385,99 BUTTERSCOTCH  SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,46,0.69,82.8,43854
4385,99 BUTTERSCOTCH  SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,46,0.69,82.8,59349
4277,99  CANDY CANE GIFT SET,50ML,,FYFY,24,5,6.99,0,0,0,3.45,82.8,88004035877
8388,99 CHERRY SCHNAPPS,750ML,,GAFY,12,1,18.99,0,0,15,14.09,169.08,80660113609
3191,99 COCONUTS,50ML,,GAFY,120,1,0.99,0,0,52,0.69,82.8,89000993154
14777,99 ESPRESSO,50ML,,FYFY,120,1,0.99,0,0,110,0.69,82.8,89000992010
12224,99 GRAPES,50ML,,GAFY,120,1,0.99,0,0,44,0.69,82.8,89000990764
13947,99 LEMON LIME,50ML,,GAFY,120,1,0.99,0,0,26,0.69,82.8,88004039677
13948,99 LONG ISLAND ICED TEA,50ML,,GAFY,120,1,0.99,0,0,52,0.69,82.8,88004034146
2894,99 MANGO SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,83,0.69,82.8,88004030261
6905,99 ORANGES SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,101,0.69,82.8,80660118895
12225,99 PEACHES,50ML,,GAFY,120,1,0.99,0,0,98,0.69,82.8,89000990610
12225,99 PEACHES,50ML,,GAFY,120,1,0.99,0,0,98,0.69,82.8,88004052942
13949,99 PEANUT BUTTER WHISKEY,50ML,,GAFY,120,1,0.99,0,0,118,0.69,82.8,88004038557
4384,99 PEPPERMINT  SCHNAPPS,50ML,,GAFY,120,1,0.99,0,0,55,0.69,82.8,88004024086
12226,99 PINEAPPLES,50ML,,GAFY,120,1,0.99,0,0,129,0.69,82.8,80660010700
12226,99 PINEAPPLES,50ML,,GAFY,120,1,0.99,0,0,129,0.69,82.8,80660010700
12226,99 PINEAPPLES,50ML,,GAFY,120,1,0.99,0,0,129,0.69,82.8,88004057879
12226,99 PINEAPPLES,50ML,,GAFY,120,1,0.99,0,0,129,0.69,82.8,88004057879
3278,99 ROOT BEER,50ML,,GAFY,120,1,0.99,0,0,111,0.69,82.8,88004023850
2575,99 ROOT BEER,750ML,,GAFY,12,1,18.99,0,0,6,15.08,180.96,88004023812
2575,99 ROOT BEER,750ML,,GAFY,12,1,18.99,0,0,6,15.08,180.96,88004023812
13950,99 SALTED CARAMEL,50ML,,GAFY,120,1,0.99,0,0,18,0.69,82.8,88004050252
12234,99 WATERMELONS,50ML,,GAFY,120,1,0.99,0,0,114,0.69,82.8,88004052928
12234,99 WATERMELONS,50ML,,GAFY,120,1,0.99,0,0,114,0.69,82.8,89000991044
12234,99 WATERMELONS,50ML,,GAFY,120,1,0.99,0,0,114,0.69,82.8,122340
13365,99 WATERMELON SCHNAPPS,750ML,,GAFY,12,1,18.99,0,0,3,15.08,180.96,89000991013
13951,99 WHIPPED,50ML,,GAFY,120,1,0.99,0,0,93,0.69,82.8,89000993086
